original_relation,paraphrase_1,paraphrase_2,paraphrase_3,paraphrase_4,paraphrase_5,paraphrase_6,paraphrase_7,paraphrase_8,paraphrase_9
disease has normal tissue origin,disease originates from normal tissue,disease arises from normal tissue,disease starts in normal tissue,normal tissue is where the disease begins,normal tissue is the source of the disease,disease's origin is found in normal tissue,disease is derived from normal tissue,disease traces back to normal tissue,the origin of the disease is normal tissue
disease has normal cell origin,disease originates from normal cells,disease arises from normal cells,disease starts in normal cells,normal cells are where the disease begins,normal cells are the source of the disease,disease's origin is found in normal cells,disease is derived from normal cells,disease traces back to normal cells,the origin of the disease is normal cells
disease may have molecular abnormality,disease might involve molecular abnormality,disease could have molecular abnormality,disease may show molecular abnormality,molecular abnormality may be present in disease,disease might present molecular abnormality,molecular abnormality can be seen in disease,disease may exhibit molecular abnormality,disease potentially has molecular abnormality,disease might demonstrate molecular abnormality
disease has associated anatomic site,disease is linked to an anatomic site,disease is associated with an anatomic site,disease occurs at an anatomic site,an anatomic site is related to the disease,disease manifests in an anatomic site,anatomic site has an association with the disease,anatomic site is connected to the disease,disease is found in an anatomic site,the anatomic site is where the disease is found
gene product has associated anatomy,gene product is linked to an anatomy,gene product is associated with an anatomy,gene product occurs in an anatomy,an anatomy is related to the gene product,anatomy has an association with the gene product,anatomy is connected to the gene product,gene product is found in an anatomy,gene product manifests in an anatomy,the anatomy is where the gene product is found
gene product has biochemical function,gene product exhibits biochemical function,gene product has a role in biochemical function,biochemical function involves gene product,gene product performs biochemical function,gene product is responsible for biochemical function,biochemical function is carried out by the gene product,gene product engages in biochemical function,gene product shows biochemical function,the biochemical function is demonstrated by the gene product
may prevent,can prevent,might prevent,could prevent,is able to prevent,has the potential to prevent,possibly prevents,may be preventive,has the capacity to prevent,potentially prevents
disease may have associated disease,disease might be linked with another disease,disease may be associated with another disease,disease could have a related disease,disease can have an associated disease,another disease may be linked to this disease,disease might exhibit an associated disease,disease may have a related disease,disease could be associated with another disease,disease potentially has an associated disease
gene associated with disease,gene is linked to disease,gene is associated with disease,disease is connected to the gene,gene is related to disease,disease has an association with the gene,gene is found in disease,disease is related to the gene,gene is implicated in disease,the disease is associated with the gene
disease mapped to gene,disease is linked to a gene,disease corresponds to a gene,gene is associated with the disease,disease is connected to a gene,gene mapping shows the disease,disease has a mapped gene,disease aligns with a gene,disease is traced to a gene,gene is identified for the disease
disease has abnormal cell,disease contains abnormal cells,abnormal cells are present in disease,disease exhibits abnormal cells,abnormal cells characterize the disease,disease is defined by abnormal cells,disease includes abnormal cells,abnormal cells are found in disease,disease shows abnormal cells,abnormal cells occur in disease
gene product plays role in biological process,gene product is involved in biological process,gene product participates in biological process,biological process involves gene product,gene product contributes to biological process,gene product is a part of biological process,biological process includes gene product,gene product takes part in biological process,biological process features gene product,gene product has a function in biological process
occurs after,happens after,takes place after,follows,comes after,succeeds,happens subsequent to,occurs subsequent to,appears after,takes place subsequent to
has physiologic effect,exhibits physiologic effect,causes physiologic effect,produces physiologic effect,physiologic effect is present,results in physiologic effect,leads to physiologic effect,shows physiologic effect,brings about physiologic effect,physiologic effect occurs
may treat,can treat,might treat,could treat,is able to treat,has the potential to treat,possibly treats,may be therapeutic,has the capacity to treat,potentially treats
gene product encoded by gene,gene product is encoded by gene,gene encodes the gene product,gene product results from gene,gene product derives from gene,gene product originates from gene,gene product is a product of gene,gene product is synthesized by gene,gene is responsible for gene product,gene produces the gene product
gene encodes gene product,gene produces gene product,gene synthesizes gene product,gene generates gene product,gene is responsible for gene product,gene results in gene product,gene creates gene product,gene manufactures gene product,gene leads to gene product,gene product comes from gene
associated morphology of,related morphology of,morphology associated with,morphology linked to,morphology related to,connected morphology of,morphology corresponding to,morphology tied to,morphology pertinent to,relevant morphology of
disease may have finding,disease might present with finding,disease may show finding,disease could have finding,disease can present finding,finding may be associated with disease,disease might exhibit finding,disease may demonstrate finding,disease could present with finding,finding could be seen in disease
